t_ms,ball_cm,vel_cms,acc_x,acc_z,servo_ang,P,D,I,FF,fps,mode,dither
8826142,-1.633,0.00,-0.271,9.872,77.8,-12.2,0.0,0.0,0.0,0.0,S,0
8826220,-1.616,0.64,-0.255,9.705,80.2,-12.0,2.2,0.0,0.0,0.0,S,0
8826297,-1.633,-0.02,-0.226,9.845,77.8,-12.2,-0.1,0.0,0.0,0.0,S,0
8826369,-1.618,0.66,-0.224,9.822,80.3,-12.1,2.3,0.0,0.0,0.0,S,0
8826463,-1.632,-0.01,-0.376,9.820,77.8,-12.2,-0.0,0.0,0.0,0.0,S,0
8826541,-1.639,0.43,-0.267,9.844,79.3,-12.2,1.5,0.0,0.0,0.0,S,0
8826620,-1.628,0.07,-0.254,9.976,78.1,-12.1,0.3,0.0,0.0,0.0,S,0
8826689,-1.713,-1.44,-0.222,9.893,72.1,-12.9,-5.0,0.0,0.0,0.0,S,0
8826781,-1.622,0.25,-0.272,9.919,78.8,-12.1,0.9,0.0,0.0,0.0,S,0
8826862,-1.633,-0.01,-0.219,9.864,77.8,-12.2,-0.0,0.0,0.0,0.0,S,0
8826938,-1.720,-0.81,-0.277,9.890,74.3,-12.9,-2.8,0.0,0.0,34.2,S,0
8827010,-1.617,0.51,-0.288,9.921,79.7,-12.0,1.8,0.0,0.0,34.2,S,0
8827078,-1.634,-0.02,-0.224,9.942,77.7,-12.2,-0.1,0.0,0.0,34.2,S,0
8827152,-1.633,-0.00,-0.250,10.005,77.8,-12.2,-0.0,0.0,0.0,34.2,S,0
8827231,-1.633,0.00,-0.273,9.816,77.8,-12.2,0.0,0.0,0.0,34.2,S,0
8827301,-1.639,0.67,-0.212,9.471,80.1,-12.2,2.3,0.0,0.0,34.2,S,0
8827375,-1.616,0.60,-0.216,9.843,80.1,-12.0,2.1,0.0,0.0,34.2,S,0
8827440,-1.710,-0.48,-0.214,9.731,75.5,-12.8,-1.7,0.0,0.0,34.2,S,0
8827520,-1.696,0.02,-0.281,9.904,77.4,-12.7,0.1,0.0,0.0,34.2,S,0
8827597,-1.621,1.01,-0.288,9.894,81.5,-12.1,3.5,0.0,0.0,34.2,S,0
8827678,-1.619,0.51,-0.271,9.729,79.7,-12.1,1.8,0.0,0.0,40.8,S,0
8827750,-1.636,0.69,-0.279,9.890,80.2,-12.2,2.4,0.0,0.0,40.8,S,0
8827822,-1.705,-0.24,-0.292,10.047,76.3,-12.8,-0.9,0.0,0.0,40.8,S,0
8827899,-1.694,0.01,-0.261,9.872,77.3,-12.7,0.1,0.0,0.0,40.8,S,0
8827991,-1.704,-0.32,-0.318,10.014,76.1,-12.8,-1.1,0.0,0.0,40.8,S,0
8828075,-1.706,-0.44,-0.268,9.863,75.7,-12.8,-1.5,0.0,0.0,40.8,S,0
8828171,-1.698,-0.01,-0.262,9.917,77.2,-12.7,-0.1,0.0,0.0,40.8,S,0
8828254,-1.682,-0.16,-0.257,9.896,76.8,-12.6,-0.5,0.0,0.0,40.8,S,0
8828354,-1.700,-0.09,-0.120,9.525,76.9,-12.7,-0.3,0.0,0.0,40.8,S,0
8828435,-1.696,0.02,-0.267,9.887,77.3,-12.7,0.1,0.0,0.0,40.8,S,0
8828518,-1.694,0.00,-0.215,9.890,77.3,-12.7,0.0,0.0,0.0,35.6,S,0
8828591,-1.696,-0.00,-0.303,9.896,77.3,-12.7,-0.0,0.0,0.0,35.6,S,0
8828669,-1.683,-0.17,-0.275,9.928,76.8,-12.6,-0.6,0.0,0.0,35.6,S,0
8828750,-1.701,-0.11,-0.320,9.927,76.8,-12.8,-0.4,0.0,0.0,35.6,S,0
8828836,-1.696,0.01,-0.284,9.711,77.3,-12.7,0.0,0.0,0.0,35.6,S,0
8828916,-1.615,0.38,-0.230,9.663,79.3,-12.0,1.3,0.0,0.0,35.6,S,0
8828996,-1.705,-0.02,-0.349,10.153,77.2,-12.8,-0.1,0.0,0.0,35.6,S,0
8829084,-1.693,0.04,-0.260,9.962,77.5,-12.7,0.2,0.0,0.0,35.6,S,0
